time,path,plate,plate_color
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115139642.jpg,渝B.Y2229,黄色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115139642.jpg,川A.WT056,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115140752.jpg,川A.WT056,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115144152.jpg,川A.WT056,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115206290.jpg,苏F.3L5A7,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115234698.jpg,川S.98121,黄色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115234698.jpg,川A.R4H07,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115236037.jpg,川A.R4H07,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115238745.jpg,川A.R4H07,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115324167.jpg,川A.3D83D,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115406749.jpg,粤S.T7L05,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115415053.jpg,川R.8X098,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115418460.jpg,渝A.25LT1,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115435712.jpg,沪F.B3658,黄色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115435712.jpg,危险.品,黑色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115518940.jpg,川A.G7M83,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115532649.jpg,川R.60625,黄色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115532649.jpg,BB.DH,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115552863.jpg,晋A.247K7,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115604853.jpg,川J.75677,蓝色
2023/8/24 14:49,C:\Users\MSI-NB\Desktop\20230518\20230518115645088.jpg,渝D.265C6,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518115732532.jpg,川S.C7511,黄色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518115739939.jpg,粤G.7C853,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518115755001.jpg,晋M.D2186,黄色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518115858416.jpg,川A.6A8V6,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518115915352.jpg,新C.E8P61,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518120026066.jpg,渝A.0JS82,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518120030724.jpg,川A.A68670,黄色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518120041154.jpg,川F.81348,黄色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518120527358.jpg,辽A.K37M3,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518120527358.jpg,苏A.K6W52,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518120529827.jpg,苏A.K6W52,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518120539240.jpg,川A.V71M2,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518120539240.jpg,川A.9MD66,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518120942459.jpg,鲁E.J3310,黄色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518120942459.jpg,危J.EK,黑色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518120958448.jpg,川R.58EA0,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518121030837.jpg,川C.80963,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518121139761.jpg,豫J.B6212,黄色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518121216753.jpg,川R.81KG9,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518121248963.jpg,川A.75PY5,蓝色
2023/8/24 14:50,C:\Users\MSI-NB\Desktop\20230518\20230518121356862.jpg,川J.0D160,蓝色
